GenBank seq accession	RefSeq seq accession	Sequence name	UCSC style name
CAWUFU020001345.1		scaffold_1900	
CAWUFU020001346.1		scaffold_1901	
CAWUFU020001347.1		scaffold_1902	
CAWUFU020001348.1		scaffold_1903	
CAWUFU020001349.1		scaffold_1904	
CAWUFU020001350.1		scaffold_1905	
CAWUFU020001351.1		scaffold_1906	
CAWUFU020001352.1		scaffold_1907	
CAWUFU020001353.1		scaffold_1908	
CAWUFU020001354.1		scaffold_1909	
CAWUFU020001355.1		scaffold_1910	
CAWUFU020001356.1		scaffold_1911	
CAWUFU020001357.1		scaffold_1912	
CAWUFU020001358.1		scaffold_1913	
CAWUFU020001359.1		scaffold_1914	
CAWUFU020001360.1		scaffold_1915	
CAWUFU020001361.1		scaffold_1916	
CAWUFU020001362.1		scaffold_1917	
CAWUFU020001363.1		scaffold_1918	
CAWUFU020001364.1		scaffold_1919	
CAWUFU020001365.1		scaffold_1920	
CAWUFU020001366.1		scaffold_1921	
CAWUFU020001367.1		scaffold_1922	
CAWUFU020001368.1		scaffold_1923	
CAWUFU020001369.1		scaffold_1924	
CAWUFU020001370.1		scaffold_1925	
CAWUFU020001371.1		scaffold_1926	
CAWUFU020001372.1		scaffold_1927	
CAWUFU020001373.1		scaffold_1928	
CAWUFU020001374.1		scaffold_1929	
CAWUFU020001375.1		scaffold_1930	
CAWUFU020001376.1		scaffold_1931	
CAWUFU020001377.1		scaffold_1932	
CAWUFU020001378.1		scaffold_1933	
CAWUFU020001379.1		scaffold_1934	
CAWUFU020001380.1		scaffold_1935	
CAWUFU020001381.1		scaffold_1936	
CAWUFU020001382.1		scaffold_1937	
CAWUFU020001383.1		scaffold_1938	
CAWUFU020001384.1		scaffold_1939	
CAWUFU020001385.1		scaffold_1940	
CAWUFU020001386.1		scaffold_1941	
CAWUFU020001387.1		scaffold_1942	
CAWUFU020001388.1		scaffold_1943	
CAWUFU020001389.1		scaffold_1944	
CAWUFU020001390.1		scaffold_1945	
CAWUFU020001391.1		scaffold_1946	
CAWUFU020001392.1		scaffold_1947	
CAWUFU020001393.1		scaffold_1948	
CAWUFU020001394.1		scaffold_1949	
CAWUFU020001395.1		scaffold_1950	
CAWUFU020001396.1		scaffold_1951	
CAWUFU020001397.1		scaffold_1952	
CAWUFU020001398.1		scaffold_1953	
CAWUFU020001399.1		scaffold_1954	
CAWUFU020001400.1		scaffold_1955	
CAWUFU020001401.1		scaffold_1956	
CAWUFU020001402.1		scaffold_1957	
CAWUFU020001403.1		scaffold_1958	
CAWUFU020001404.1		scaffold_1959	
CAWUFU020001405.1		scaffold_1960	
CAWUFU020001406.1		scaffold_1961	
CAWUFU020001407.1		scaffold_1962	
CAWUFU020001408.1		scaffold_1963	
CAWUFU020001409.1		scaffold_1964	
CAWUFU020001410.1		scaffold_1965	
CAWUFU020001411.1		scaffold_1966	
CAWUFU020001412.1		scaffold_1967	
CAWUFU020001413.1		scaffold_1968	
CAWUFU020001414.1		scaffold_1969	
CAWUFU020001415.1		scaffold_1970	
CAWUFU020001416.1		scaffold_1971	
CAWUFU020001417.1		scaffold_1972	
CAWUFU020001418.1		scaffold_1973	
CAWUFU020001419.1		scaffold_1975	
CAWUFU020001420.1		scaffold_1976	
CAWUFU020001421.1		scaffold_1977	
CAWUFU020001422.1		scaffold_1978	
CAWUFU020001423.1		scaffold_1979	
CAWUFU020001424.1		scaffold_1980	
CAWUFU020001425.1		scaffold_1981	
CAWUFU020001426.1		scaffold_1982	
CAWUFU020001427.1		scaffold_1983	
CAWUFU020001428.1		scaffold_1984	
CAWUFU020001429.1		scaffold_1985	
CAWUFU020001430.1		scaffold_1986	
CAWUFU020001431.1		scaffold_1987	
CAWUFU020001432.1		scaffold_1988	
CAWUFU020001433.1		scaffold_1989	
CAWUFU020001434.1		scaffold_1990	
CAWUFU020001435.1		scaffold_1991	
CAWUFU020001436.1		scaffold_1992	
CAWUFU020001437.1		scaffold_1993	
CAWUFU020001438.1		scaffold_1994	
CAWUFU020001439.1		scaffold_1995	
CAWUFU020001440.1		scaffold_1996	
CAWUFU020001441.1		scaffold_1997	
CAWUFU020001442.1		scaffold_1998	
CAWUFU020001443.1		scaffold_1999	
CAWUFU020001444.1		scaffold_2000	
CAWUFU020001445.1		scaffold_2001	
CAWUFU020001446.1		scaffold_2002	
CAWUFU020001447.1		scaffold_2004	
CAWUFU020001448.1		scaffold_2005	
CAWUFU020001449.1		scaffold_2007	
CAWUFU020001450.1		scaffold_2008	
CAWUFU020001451.1		scaffold_2009	
CAWUFU020001452.1		scaffold_2010	
CAWUFU020001453.1		scaffold_2011	
CAWUFU020001454.1		scaffold_2012	
CAWUFU020001455.1		scaffold_2013	
CAWUFU020001456.1		scaffold_2014	
CAWUFU020001457.1		scaffold_2015	
CAWUFU020001458.1		scaffold_2016	
CAWUFU020001459.1		scaffold_2017	
CAWUFU020001460.1		scaffold_2018	
CAWUFU020001461.1		scaffold_2019	
CAWUFU020001462.1		scaffold_2020	
CAWUFU020001463.1		scaffold_2021	
CAWUFU020001464.1		scaffold_2022	
CAWUFU020001465.1		scaffold_2023	
CAWUFU020001466.1		scaffold_2024	
CAWUFU020001467.1		scaffold_2025	
CAWUFU020001468.1		scaffold_2026	
CAWUFU020001469.1		scaffold_2027	
CAWUFU020001470.1		scaffold_2028	
CAWUFU020001471.1		scaffold_2029	
CAWUFU020001472.1		scaffold_2030	
CAWUFU020001473.1		scaffold_2032	
CAWUFU020001474.1		scaffold_2034	
CAWUFU020001475.1		scaffold_2035	
CAWUFU020001476.1		scaffold_2036	
CAWUFU020001477.1		scaffold_2037	
CAWUFU020001478.1		scaffold_2038	
CAWUFU020001479.1		scaffold_2039	
CAWUFU020001480.1		scaffold_2040	
CAWUFU020001481.1		scaffold_2041	
CAWUFU020001482.1		scaffold_2042	
CAWUFU020001483.1		scaffold_2043	
CAWUFU020001484.1		scaffold_2044	
CAWUFU020001485.1		scaffold_2045	
CAWUFU020001486.1		scaffold_2046	
CAWUFU020001487.1		scaffold_2047	
CAWUFU020001488.1		scaffold_2048	
CAWUFU020001489.1		scaffold_2049	
CAWUFU020001490.1		scaffold_2050	
CAWUFU020001491.1		scaffold_2051	
CAWUFU020001492.1		scaffold_2052	
CAWUFU020001493.1		scaffold_2053	
CAWUFU020001494.1		scaffold_2055	
CAWUFU020001495.1		scaffold_2056	
CAWUFU020001496.1		scaffold_2057	
CAWUFU020001497.1		scaffold_2058	
CAWUFU020001498.1		scaffold_2059	
CAWUFU020001499.1		scaffold_2060	
CAWUFU020001500.1		scaffold_2061	
CAWUFU020001501.1		scaffold_2062	
CAWUFU020001502.1		scaffold_2063	
CAWUFU020001503.1		scaffold_2064	
CAWUFU020001504.1		scaffold_2065	
CAWUFU020001505.1		scaffold_2066	
CAWUFU020001506.1		scaffold_2067	
CAWUFU020001507.1		scaffold_2068	
CAWUFU020001508.1		scaffold_2069	
CAWUFU020001509.1		scaffold_2070	
CAWUFU020001510.1		scaffold_2071	
CAWUFU020001511.1		scaffold_2072	
CAWUFU020001512.1		scaffold_2073	
CAWUFU020001513.1		scaffold_2074	
CAWUFU020001514.1		scaffold_2075	
CAWUFU020001515.1		scaffold_2076	
CAWUFU020001516.1		scaffold_2077	
CAWUFU020001517.1		scaffold_2078	
CAWUFU020001518.1		scaffold_2079	
CAWUFU020001519.1		scaffold_2080	
CAWUFU020001520.1		scaffold_2081	
CAWUFU020001521.1		scaffold_2082	
CAWUFU020001522.1		scaffold_2083	
CAWUFU020001523.1		scaffold_2084	
CAWUFU020001524.1		scaffold_2085	
CAWUFU020001525.1		scaffold_2086	
CAWUFU020001526.1		scaffold_2087	
CAWUFU020001527.1		scaffold_2089	
CAWUFU020001528.1		scaffold_2090	
CAWUFU020001529.1		scaffold_2091	
CAWUFU020001530.1		scaffold_2092	
CAWUFU020001531.1		scaffold_2093	
CAWUFU020001532.1		scaffold_2094	
CAWUFU020001533.1		scaffold_2095	
CAWUFU020001534.1		scaffold_2096	
CAWUFU020001535.1		scaffold_2097	
CAWUFU020001536.1		scaffold_2098	
CAWUFU020001537.1		scaffold_2099	
CAWUFU020001538.1		scaffold_2100	
CAWUFU020001539.1		scaffold_2101	
CAWUFU020001540.1		scaffold_2102	
CAWUFU020001541.1		scaffold_2103	
CAWUFU020001542.1		scaffold_2104	
CAWUFU020001543.1		scaffold_2105	
CAWUFU020001544.1		scaffold_2106	
CAWUFU020001545.1		scaffold_2107	
CAWUFU020001546.1		scaffold_2108	
CAWUFU020001547.1		scaffold_2109	
CAWUFU020001548.1		scaffold_2110	
CAWUFU020001549.1		scaffold_2111	
CAWUFU020001550.1		scaffold_2112	
CAWUFU020001551.1		scaffold_2113	
CAWUFU020001552.1		scaffold_2114	
CAWUFU020001553.1		scaffold_2115	
CAWUFU020001554.1		scaffold_2116	
CAWUFU020001555.1		scaffold_2117	
CAWUFU020001556.1		scaffold_2118	
CAWUFU020001557.1		scaffold_2119	
CAWUFU020001558.1		scaffold_2120	
CAWUFU020001559.1		scaffold_2121	
CAWUFU020001560.1		scaffold_2123	
CAWUFU020001561.1		scaffold_2124	
CAWUFU020001562.1		scaffold_2125	
CAWUFU020001563.1		scaffold_2126	
CAWUFU020001564.1		scaffold_2128	
CAWUFU020001565.1		scaffold_2129	
CAWUFU020001566.1		scaffold_2130	
CAWUFU020001567.1		scaffold_2131	
CAWUFU020001568.1		scaffold_2132	
CAWUFU020001569.1		scaffold_2134	
CAWUFU020001570.1		scaffold_2135	
CAWUFU020001571.1		scaffold_2136	
CAWUFU020001572.1		scaffold_2137	
CAWUFU020001573.1		scaffold_2138	
CAWUFU020001574.1		scaffold_2139	
CAWUFU020001575.1		scaffold_2140	
CAWUFU020001576.1		scaffold_2141	
CAWUFU020001577.1		scaffold_2142	
CAWUFU020001578.1		scaffold_2143	
CAWUFU020001579.1		scaffold_2145	
CAWUFU020001580.1		scaffold_2146	
CAWUFU020001581.1		scaffold_2147	
CAWUFU020001582.1		scaffold_2148	
CAWUFU020001583.1		scaffold_2149	
CAWUFU020001584.1		scaffold_2150	
CAWUFU020001585.1		scaffold_2151	
CAWUFU020001586.1		scaffold_2152	
CAWUFU020001587.1		scaffold_2153	
CAWUFU020001588.1		scaffold_2154	
CAWUFU020001589.1		scaffold_2155	
CAWUFU020001590.1		scaffold_2156	
CAWUFU020001591.1		scaffold_2158	
CAWUFU020001592.1		scaffold_2160	
CAWUFU020001593.1		scaffold_2161	
CAWUFU020001594.1		scaffold_2163	
CAWUFU020001595.1		scaffold_2164	
CAWUFU020001596.1		scaffold_2165	
CAWUFU020001597.1		scaffold_2168	
CAWUFU020001598.1		scaffold_2169	
CAWUFU020001599.1		scaffold_2171	
CAWUFU020001600.1		scaffold_2172	
CAWUFU020001601.1		scaffold_2173	
CAWUFU020001602.1		scaffold_2174	
CAWUFU020001603.1		scaffold_2175	
CAWUFU020001604.1		scaffold_2176	
CAWUFU020001605.1		scaffold_2177	
CAWUFU020001606.1		scaffold_2178	
CAWUFU020001607.1		scaffold_2180	
CAWUFU020001608.1		scaffold_2182	
CAWUFU020001609.1		scaffold_2183	
CAWUFU020001610.1		scaffold_2184	
CAWUFU020001611.1		scaffold_2186	
CAWUFU020001612.1		scaffold_2187	
CAWUFU020001613.1		scaffold_2188	
CAWUFU020001614.1		scaffold_2189	
CAWUFU020001615.1		scaffold_2190	
CAWUFU020001616.1		scaffold_2191	
CAWUFU020001617.1		scaffold_2192	
CAWUFU020001618.1		scaffold_2193	
CAWUFU020001619.1		scaffold_2194	
CAWUFU020001620.1		scaffold_2195	
CAWUFU020001621.1		scaffold_2196	
CAWUFU020001622.1		scaffold_2197	
CAWUFU020001623.1		scaffold_2198	
CAWUFU020001624.1		scaffold_2202	
CAWUFU020001625.1		scaffold_2203	
CAWUFU020001626.1		scaffold_2204	
CAWUFU020001627.1		scaffold_2205	
CAWUFU020001628.1		scaffold_2206	
CAWUFU020001629.1		scaffold_2207	
CAWUFU020001630.1		scaffold_2208	
CAWUFU020001631.1		scaffold_2210	
CAWUFU020001632.1		scaffold_2211	
CAWUFU020001633.1		scaffold_2212	
CAWUFU020001634.1		scaffold_2213	
CAWUFU020001635.1		scaffold_2214	
CAWUFU020001636.1		scaffold_2215	
CAWUFU020001637.1		scaffold_2216	
CAWUFU020001638.1		scaffold_2217	
CAWUFU020001639.1		scaffold_2218	
CAWUFU020001640.1		scaffold_2219	
CAWUFU020001641.1		scaffold_2220	
CAWUFU020001642.1		scaffold_2221	
CAWUFU020001643.1		scaffold_2222	
CAWUFU020001644.1		scaffold_2223	
CAWUFU020001645.1		scaffold_2224	
CAWUFU020001646.1		scaffold_2225	
CAWUFU020001647.1		scaffold_2226	
CAWUFU020001648.1		scaffold_2227	
CAWUFU020001649.1		scaffold_2228	
CAWUFU020001650.1		scaffold_2229	
CAWUFU020001651.1		scaffold_2230	
CAWUFU020001652.1		scaffold_2231	
CAWUFU020001653.1		scaffold_2232	
CAWUFU020001654.1		scaffold_2234	
CAWUFU020001655.1		scaffold_2235	
CAWUFU020001656.1		scaffold_2237	
OY997404.1		scaffold_MT_1	
OY997405.1		scaffold_pltd_1	
